strain_id,strain_name,size,control_size,log2_ratio,z
rec7484,som1,0.5308477677681522,0.7722869578813512,-0.5408388119240901,-0.4896627931550707
rec7477,ydr246w-a,0.8385482950969974,1.2196619733924337,-0.5405155820211989,-0.4890325570104594
rec3678,yft2,0.6582114296532743,0.9573621210803689,-0.5405136469538167,-0.4890287840012309
rec6898,aim24,1.066466593388489,1.5511636177636783,-0.5405120962479022,-0.48902576042294127
rec394,syn8,0.7983089128529147,1.1611228928777413,-0.5405016511758712,-0.48900539454135633
rec6395,trp2,0.6643751334824848,0.966177779740961,-0.5402905973960909,-0.4885938802622484
rec3828,lys21,1.2410463350075243,1.8046381623111505,-0.5401526194430433,-0.48832484979077206
rec1480,yil089w,0.7933706092746582,1.153482852665649,-0.5399296991210348,-0.4878901980365828
rec1150,rim21,0.8478559779549226,1.2323425051492225,-0.5395121545905682,-0.48707606650750407
rec4738,clb1,0.6548473138842965,0.9516165176338613,-0.5392217506208427,-0.48650983461923336
rec1775,phm7,0.8017377113811863,1.165006894694925,-0.5391362519325806,-0.4863431286208787
rec2764,cwc27,0.7393614951178363,1.074171092504665,-0.5388719850079629,-0.4858278589436934
rec7051,ykr040c,0.9607344946087003,1.3954051203512292,-0.538474339855886,-0.4850525273752753
rec7613,yol164w-a,0.8308073442898831,1.20656530939286,-0.5383201336794533,-0.48475185498933304
rec4108,pcd1,0.7477802520412827,1.0851207044706128,-0.5371692541938106,-0.4825078613382018
rec4731,pcp1,0.45394327935463974,0.6585947125880229,-0.5368788868987813,-0.4819417009585353
rec1459,rnr3,0.9064221885371668,1.3150554797470817,-0.5368685826256989,-0.48192160960782066
rec1909,lrp1,0.5521351276475146,0.8009314545675603,-0.5366573885533018,-0.48150982178509216
rec3284,adh5,0.7587364497365005,1.1003400509256889,-0.5362786939000921,-0.4807714400447613
rec2715,lcl2,1.0174425675428473,1.475364687047295,-0.5361242504384675,-0.48047030499833127
rec1981,pdr16,0.7877450927456695,1.1421723093949006,-0.5359795465891429,-0.48018816032269035
rec3913,gdh2,0.8818921446091178,1.2785341013919338,-0.5358165109171167,-0.4798702721184962
rec2408,yor152c,1.0695453379890452,1.5503399461305114,-0.5355869532137346,-0.4794226787471799
rec7027,ykl115c,0.7085688481261669,1.0269824996054944,-0.5354316528817415,-0.4791198729683312
rec4204,ypr1,0.8825176594036006,1.2790823158273645,-0.5354120599122701,-0.4790816704461305
rec5800,ahc2,0.8708535867768354,1.2620054755398338,-0.5352160802188582,-0.47869954773627843
rec2960,dma2,0.9334058924044083,1.3524972999883291,-0.5350492340919061,-0.47837422987783434
rec3122,ybl096c,0.8754740672254094,1.2684241696894403,-0.5349009234730315,-0.47808505269525214
rec1858,yor082c,1.1193981860903524,1.6217138867572005,-0.5347959973665724,-0.47788046696784137
rec5360,ynl035c,0.7254187805885104,1.0509116590277123,-0.5347553983376477,-0.47780130666975157
rec7507,efg1,0.2114015495766493,0.30625617899468693,-0.5347530003463018,-0.4777966310478269
rec1034,thi21,0.8705531070727034,1.2611294978231835,-0.5347122093773393,-0.4777170965035786
rec4827,sng1,0.8054917008448473,1.1668392467164352,-0.534664187587301,-0.47762346324891886
rec3168,rpl4a,0.6695243807583859,0.9698318681347564,-0.534598068361709,-0.4774945434755653
rec6039,ecm30,0.7254752291810402,1.0506935333962497,-0.5343436644550951,-0.47699850478655714
rec927,mup3,0.7582339664914901,1.098084169098252,-0.5342736511413955,-0.4768619922903345
rec6836,yjr038c,1.0344905198643342,1.4980077762037596,-0.5341246885786399,-0.4765715439425711
rec5567,urn1,0.9735313025189832,1.409348400265048,-0.533729026894876,-0.47580007975588756
rec1149,ynl295w,0.752147156261506,1.0888451517788678,-0.5337119429087281,-0.47576676926862105
rec6952,erv41,0.7860543718352695,1.137796236589088,-0.533541201151411,-0.47543385568020247
rec892,ubp15,0.6319007489435564,0.9146373549139517,-0.5335018660611843,-0.47535715981948334
rec596,mac1,0.5504327812774665,0.7967095063302764,-0.5334873962795481,-0.4753289465282309
rec3974,aro3,1.0297090413483736,1.490417156108169,-0.5334794448835669,-0.4753134428353403
rec991,dap2,0.8330622409607321,1.2057511104757124,-0.5334359453317474,-0.4752286270754561
rec4255,rad30,0.7074474829624291,1.023870776943597,-0.5333386845961037,-0.47503898734687316
rec5397,mrpl50,0.7584503014646133,1.097583632223626,-0.533204318478158,-0.47477699925919004
rec1823,std1,0.8929410667773384,1.292098103709722,-0.5330787449452531,-0.4745321550212798
rec6047,ecm7,0.6834830006326627,0.988409068872242,-0.5322027917393441,-0.472824214739722
rec3363,tdp1,0.7931932393367725,1.1468015912317162,-0.5318715253501278,-0.4721783089924148
rec5393,rcf2,0.674026491224238,0.9744293638482124,-0.5317523139733757,-0.47194586973538444
rec6853,hit1,1.2222576999531156,1.7669726862767001,-0.5317312449623769,-0.4719047892160887
rec2296,tma108,0.7612114646393292,1.1002848639875311,-0.5315078907839393,-0.4714692915253052
rec7339,irc15,0.5786764541924002,0.8364243665183969,-0.5314781474123348,-0.47141129767114714
rec1597,rax1,0.8971281224210431,1.2966492849183666,-0.5314023731448008,-0.4712635524229377
rec6957,hot1,0.991296476667456,1.4327471723773768,-0.5313955411189961,-0.47125023128660565
rec879,got1,0.8440853182058186,1.219881965052681,-0.5312808246351272,-0.4710265562062055
rec3182,gip1,0.7684372610631133,1.110473340750492,-0.5311753771383574,-0.4708209538679668
rec6744,cin4,0.7082578832964233,1.0233829279336286,-0.5309994118455973,-0.4704778553900644
rec7222,mks1,0.7022148955930286,1.0146053148554137,-0.53093411840382565,-0.4703505457363397
rec3731,gpr1,0.7405977377019095,1.0699074411132297,-0.5307239452270295,-0.46994074846368666
rec7108,ccw14,0.7122714601749695,1.0287178230489813,-0.5303482161589244,-0.469208149043946
rec6070,ymr158c-a,0.9544510193775921,1.378424597766394,-0.5302772833086987,-0.46906984362834975
